city,strategy,fraction,seed,MASE,n_train_hours
manila,nas_transfer,1.0,43,0.9301441005219911,108
manila,nas_transfer,1.0,44,0.9301439533322556,108
manila,nas_transfer,1.0,45,0.9301439991246176,108
manila,nas_transfer,1.0,46,0.9301440623616892,108
manila,lgbm_refit,10.0,,0.9718433597550943,1084
manila,nas_transfer,10.0,42,0.962232333360748,1084
manila,nas_transfer,10.0,43,0.9518096563567607,1084
manila,nas_transfer,10.0,44,0.9584857869840187,1084
manila,nas_transfer,10.0,45,0.9872940635993552,1084
manila,nas_transfer,10.0,46,0.9673526192020421,1084
manila,lgbm_refit,100.0,,0.9107630265301943,10848
manila,nas_transfer,100.0,42,0.9636039279982922,10848
manila,nas_transfer,100.0,43,0.9113468452375191,10848
manila,nas_transfer,100.0,44,0.9643480018764833,10848
manila,nas_transfer,100.0,45,0.9853322913286584,10848
manila,nas_transfer,100.0,46,1.015133225551186,10848
mumbai,chronos_zeroshot,,,1.451894083438596,3204
mumbai,nas_transfer,0.0,,1.4390369142101975,0
mumbai,nas_transfer,1.0,42,1.3798386899111563,49
mumbai,nas_transfer,1.0,43,1.3798386899111563,49
mumbai,nas_transfer,1.0,44,1.3798386899111563,49
mumbai,nas_transfer,1.0,45,1.3798386899111563,49
mumbai,nas_transfer,1.0,46,1.3798386899111563,49
mumbai,lgbm_refit,10.0,,1.8614558389238134,320
mumbai,nas_transfer,10.0,42,1.6063674262765082,320
mumbai,nas_transfer,10.0,43,1.5543968423096317,320
mumbai,nas_transfer,10.0,44,1.5712131934983065,320
mumbai,nas_transfer,10.0,45,1.5326997107623064,320
mumbai,nas_transfer,10.0,46,1.5166633470345119,320
mumbai,lgbm_refit,100.0,,1.7037760039839258,3204
mumbai,nas_transfer,100.0,42,1.4908359296243077,3204
mumbai,nas_transfer,100.0,43,1.4176356116936215,3204
mumbai,nas_transfer,100.0,44,1.4954632274784663,3204
mumbai,nas_transfer,100.0,45,1.4599361745454666,3204
mumbai,nas_transfer,100.0,46,1.41665942218116,3204
nairobi,chronos_zeroshot,,,0.6358747513872555,13432
nairobi,nas_transfer,0.0,,0.7599765380015582,0
nairobi,nas_transfer,1.0,42,0.6365756818658633,134
nairobi,nas_transfer,1.0,43,0.6401852386287408,134
nairobi,nas_transfer,1.0,44,0.6443914714274562,134
nairobi,nas_transfer,1.0,45,0.640299091521975,134
nairobi,nas_transfer,1.0,46,0.6364637460016033,134
nairobi,lgbm_refit,10.0,,0.6715642790188514,1343
nairobi,nas_transfer,10.0,42,0.7557931734240758,1343
nairobi,nas_transfer,10.0,43,0.7690639503004657,1343
nairobi,nas_transfer,10.0,44,0.7369351065989781,1343
nairobi,nas_transfer,10.0,45,0.772236501220274,1343
nairobi,nas_transfer,10.0,46,0.7840965259324545,1343
nairobi,lgbm_refit,100.0,,0.6637859120227514,13432
nairobi,nas_transfer,100.0,42,0.6309430331488433,13432
nairobi,nas_transfer,100.0,43,0.6341762186818322,13432
nairobi,nas_transfer,100.0,44,0.6419509799340508,13432
nairobi,nas_transfer,100.0,45,0.6116926703454272,13432
nairobi,nas_transfer,100.0,46,0.6577314599073113,13432
accra,lgbm_refit,1.0,,0.9472897113705361,202
addis_ababa,lgbm_refit,1.0,,1.4668489566084462,202
bogota,lgbm_refit,1.0,,1.259944030572281,202
delhi,lgbm_refit,1.0,,0.9821741503263773,202
dhaka,lgbm_refit,1.0,,0.9453348145568157,202
hanoi,lgbm_refit,1.0,,0.8271400724852236,202
jakarta,lgbm_refit,1.0,,0.960908790896792,202
kampala,lgbm_refit,1.0,,0.9322102324392557,202
karachi,lgbm_refit,1.0,,0.3176774206442067,202
lagos,lgbm_refit,1.0,,0.7311478336962335,202
lahore,lgbm_refit,1.0,,0.7448578421285988,202
lima,lgbm_refit,1.0,,0.6830375352419897,202
manila,lgbm_refit,1.0,,1.0920979137112488,202
mumbai,lgbm_refit,1.0,,1.5248299100865086,202
nairobi,lgbm_refit,1.0,,0.6998186358210777,202
