city,model_a,model_b,dm_stat,p_value,mean_loss_diff,better,significant_5pct
krakow,chronos_cov,nas_gru,-0.39031033459581943,0.6965551452753111,-0.07377371862031701,chronos_cov,False
lagos,seasonal_naive,lgbm_direct,5.647578834451651,3.476226861671581e-08,0.5784742518080422,lgbm_direct,True
lagos,seasonal_naive,chronos,3.155739955854942,0.001746124246093049,0.334965419769287,chronos,True
lagos,seasonal_naive,chronos_cov,4.786555173990488,2.549608451911811e-06,0.5671138304379385,chronos_cov,True
lagos,seasonal_naive,nas_gru,3.1092230765756517,0.002036627668514754,0.330172174317496,nas_gru,True
lagos,lgbm_direct,chronos,-4.183792759285617,3.666217506407011e-05,-0.24350883203875542,lgbm_direct,True
lagos,lgbm_direct,chronos_cov,-0.39287824428531576,0.6946592900526873,-0.011360421370103787,lgbm_direct,False
lagos,lgbm_direct,nas_gru,-6.2695845548789615,1.1150455270627244e-09,-0.24830207749054636,lgbm_direct,True
lagos,chronos,chronos_cov,4.733657319564704,3.2588804245807003e-06,0.23214841066865163,chronos_cov,True
lagos,chronos,nas_gru,-0.08261211945052456,0.9342093029682058,-0.004793245451790929,chronos,False
lagos,chronos_cov,nas_gru,-6.088105688812372,3.1283115323207507e-09,-0.23694165612044257,chronos_cov,True
lahore,seasonal_naive,lgbm_direct,7.100545814997965,7.482242481401523e-12,1.6041095122731037,lgbm_direct,True
lahore,seasonal_naive,chronos,7.041059030754913,1.0864969157889055e-11,1.6200273093723117,chronos,True
lahore,seasonal_naive,chronos_cov,4.897668267618805,1.5117915971714642e-06,1.3833425483770203,chronos_cov,True
lahore,seasonal_naive,nas_gru,5.019843727310449,8.416554166078738e-07,1.4405598697208224,nas_gru,True
lahore,lgbm_direct,chronos,0.1648982421827053,0.8691235323031077,0.0159177970992079,chronos,False
lahore,lgbm_direct,chronos_cov,-1.665678760253765,0.09671220652108822,-0.22076696389608313,lgbm_direct,False
lahore,lgbm_direct,nas_gru,-1.302404650713541,0.1936727667768246,-0.16354964255228133,lgbm_direct,False
lahore,chronos,chronos_cov,-1.9887726726292188,0.047539492867408675,-0.23668476099529098,chronos,True
lahore,chronos,nas_gru,-1.8999057995334248,0.05830398979520005,-0.1794674396514892,chronos,False
lahore,chronos_cov,nas_gru,0.4543378169699477,0.6498799375212907,0.0572173213438018,nas_gru,False
lima,seasonal_naive,lgbm_direct,4.389915046576735,1.5221308999537504e-05,1.1381923934762466,lgbm_direct,True
